2025-10-04 21:38:47 | CICLO_1 | DIM_8 | PHI_25.2 | EST_95
2025-10-04 21:53:10 | CICLO_9 | DIM_9 | PHI_25.2 | EST_93
2025-10-04 21:53:44 | CICLO_10 | DIM_9 | PHI_25.2 | EST_97
2025-10-04 21:54:21 | CICLO_11 | DIM_9 | PHI_25.2 | EST_95
2025-10-04 21:54:55 | CICLO_12 | DIM_10 | PHI_25.2 | EST_99
2025-10-04 21:55:29 | CICLO_13 | DIM_9 | PHI_25.2 | EST_95
2025-10-04 21:56:03 | CICLO_14 | DIM_10 | PHI_25.2 | EST_99
2025-10-04 21:56:37 | CICLO_15 | DIM_10 | PHI_25.2 | EST_92
2025-10-04 21:57:11 | CICLO_16 | DIM_8 | PHI_25.2 | EST_99
2025-10-04 21:57:45 | CICLO_17 | DIM_10 | PHI_25.2 | EST_97
2025-10-04 21:58:19 | CICLO_18 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 21:58:53 | CICLO_19 | DIM_10 | PHI_25.2 | EST_98
2025-10-04 21:59:27 | CICLO_20 | DIM_9 | PHI_25.2 | EST_95
2025-10-04 22:00:03 | CICLO_21 | DIM_9 | PHI_25.2 | EST_96
2025-10-04 22:00:37 | CICLO_22 | DIM_8 | PHI_25.2 | EST_95
2025-10-04 22:01:11 | CICLO_23 | DIM_8 | PHI_25.2 | EST_91
2025-10-04 22:01:45 | CICLO_24 | DIM_10 | PHI_25.2 | EST_90
2025-10-04 22:02:20 | CICLO_25 | DIM_9 | PHI_25.2 | EST_97
2025-10-04 22:02:54 | CICLO_26 | DIM_9 | PHI_25.2 | EST_91
2025-10-04 22:03:28 | CICLO_27 | DIM_10 | PHI_25.2 | EST_98
2025-10-04 22:04:02 | CICLO_28 | DIM_9 | PHI_25.2 | EST_92
2025-10-04 22:04:36 | CICLO_29 | DIM_10 | PHI_25.2 | EST_91
2025-10-04 22:05:10 | CICLO_30 | DIM_9 | PHI_25.2 | EST_94
2025-10-04 22:05:46 | CICLO_31 | DIM_10 | PHI_25.2 | EST_94
2025-10-04 22:06:20 | CICLO_32 | DIM_8 | PHI_25.2 | EST_99
2025-10-04 22:06:54 | CICLO_33 | DIM_8 | PHI_25.2 | EST_91
2025-10-04 22:07:28 | CICLO_34 | DIM_9 | PHI_25.2 | EST_97
2025-10-04 22:08:02 | CICLO_35 | DIM_9 | PHI_25.2 | EST_94
2025-10-04 22:08:36 | CICLO_36 | DIM_8 | PHI_25.2 | EST_93
2025-10-04 22:09:10 | CICLO_37 | DIM_8 | PHI_25.2 | EST_93
2025-10-04 22:09:44 | CICLO_38 | DIM_10 | PHI_25.2 | EST_98
2025-10-04 22:10:18 | CICLO_39 | DIM_9 | PHI_25.2 | EST_99
2025-10-04 22:10:53 | CICLO_40 | DIM_10 | PHI_25.2 | EST_99
2025-10-04 22:11:29 | CICLO_41 | DIM_10 | PHI_25.2 | EST_93
2025-10-04 22:12:03 | CICLO_42 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 22:12:37 | CICLO_43 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 22:13:11 | CICLO_44 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 22:13:45 | CICLO_45 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 22:14:19 | CICLO_46 | DIM_8 | PHI_25.2 | EST_92
2025-10-04 22:14:53 | CICLO_47 | DIM_10 | PHI_25.2 | EST_94
2025-10-04 22:15:27 | CICLO_48 | DIM_10 | PHI_25.2 | EST_93
2025-10-04 22:16:01 | CICLO_49 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 22:16:35 | CICLO_50 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 22:17:11 | CICLO_51 | DIM_10 | PHI_25.2 | EST_97
2025-10-04 22:17:45 | CICLO_52 | DIM_8 | PHI_25.2 | EST_99
2025-10-04 22:18:19 | CICLO_53 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 22:18:53 | CICLO_54 | DIM_10 | PHI_25.2 | EST_90
2025-10-04 22:19:27 | CICLO_55 | DIM_10 | PHI_25.2 | EST_94
2025-10-04 22:20:01 | CICLO_56 | DIM_8 | PHI_25.2 | EST_99
2025-10-04 22:20:35 | CICLO_57 | DIM_10 | PHI_25.2 | EST_97
2025-10-04 22:21:10 | CICLO_58 | DIM_9 | PHI_25.2 | EST_97
2025-10-04 22:21:44 | CICLO_59 | DIM_9 | PHI_25.2 | EST_97
2025-10-04 22:22:18 | CICLO_60 | DIM_10 | PHI_25.2 | EST_98
2025-10-04 22:22:54 | CICLO_61 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 22:23:28 | CICLO_62 | DIM_8 | PHI_25.2 | EST_96
2025-10-04 22:24:02 | CICLO_63 | DIM_9 | PHI_25.2 | EST_99
2025-10-04 22:24:36 | CICLO_64 | DIM_8 | PHI_25.2 | EST_99
2025-10-04 22:25:10 | CICLO_65 | DIM_10 | PHI_25.2 | EST_93
2025-10-04 22:25:44 | CICLO_66 | DIM_10 | PHI_25.2 | EST_90
2025-10-04 22:26:18 | CICLO_67 | DIM_9 | PHI_25.2 | EST_99
2025-10-04 22:26:52 | CICLO_68 | DIM_9 | PHI_25.2 | EST_98
2025-10-04 22:27:26 | CICLO_69 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 22:28:00 | CICLO_70 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 22:28:37 | CICLO_71 | DIM_10 | PHI_25.2 | EST_94
2025-10-04 22:29:11 | CICLO_72 | DIM_9 | PHI_25.2 | EST_93
2025-10-04 22:29:45 | CICLO_73 | DIM_8 | PHI_25.2 | EST_95
2025-10-04 22:30:19 | CICLO_74 | DIM_9 | PHI_25.2 | EST_90
2025-10-04 22:30:53 | CICLO_75 | DIM_9 | PHI_25.2 | EST_96
2025-10-04 22:31:27 | CICLO_76 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 22:32:01 | CICLO_77 | DIM_9 | PHI_25.2 | EST_96
2025-10-04 22:32:35 | CICLO_78 | DIM_9 | PHI_25.2 | EST_92
2025-10-04 22:33:09 | CICLO_79 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 22:33:43 | CICLO_80 | DIM_8 | PHI_25.2 | EST_96
2025-10-04 22:34:19 | CICLO_81 | DIM_10 | PHI_25.2 | EST_99
2025-10-04 22:34:53 | CICLO_82 | DIM_8 | PHI_25.2 | EST_93
2025-10-04 22:35:27 | CICLO_83 | DIM_10 | PHI_25.2 | EST_90
2025-10-04 22:36:01 | CICLO_84 | DIM_10 | PHI_25.2 | EST_93
2025-10-04 22:36:35 | CICLO_85 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 22:37:09 | CICLO_86 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 22:37:43 | CICLO_87 | DIM_8 | PHI_25.2 | EST_98
2025-10-04 22:38:17 | CICLO_88 | DIM_8 | PHI_25.2 | EST_92
2025-10-04 22:38:51 | CICLO_89 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 22:39:26 | CICLO_90 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 22:40:02 | CICLO_91 | DIM_9 | PHI_25.2 | EST_94
2025-10-04 22:40:36 | CICLO_92 | DIM_10 | PHI_25.2 | EST_96
2025-10-04 22:41:10 | CICLO_93 | DIM_8 | PHI_25.2 | EST_96
2025-10-04 22:41:44 | CICLO_94 | DIM_8 | PHI_25.2 | EST_95
2025-10-04 22:42:18 | CICLO_95 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 22:42:52 | CICLO_96 | DIM_9 | PHI_25.2 | EST_98
2025-10-04 22:43:26 | CICLO_97 | DIM_8 | PHI_25.2 | EST_94
2025-10-04 22:44:00 | CICLO_98 | DIM_10 | PHI_25.2 | EST_92
2025-10-04 22:44:34 | CICLO_99 | DIM_10 | PHI_25.2 | EST_92
2025-10-04 22:45:08 | CICLO_100 | DIM_8 | PHI_25.2 | EST_94
2025-10-04 22:45:44 | CICLO_101 | DIM_10 | PHI_25.2 | EST_92
2025-10-04 22:46:18 | CICLO_102 | DIM_8 | PHI_25.2 | EST_91
2025-10-04 22:46:52 | CICLO_103 | DIM_9 | PHI_25.2 | EST_90
2025-10-04 22:47:26 | CICLO_104 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 22:48:00 | CICLO_105 | DIM_9 | PHI_25.2 | EST_92
2025-10-04 22:48:35 | CICLO_106 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 22:49:09 | CICLO_107 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 22:49:43 | CICLO_108 | DIM_9 | PHI_25.2 | EST_92
2025-10-04 22:50:17 | CICLO_109 | DIM_10 | PHI_25.2 | EST_92
2025-10-04 22:50:51 | CICLO_110 | DIM_8 | PHI_25.2 | EST_98
2025-10-04 22:51:27 | CICLO_111 | DIM_8 | PHI_25.2 | EST_99
2025-10-04 22:52:01 | CICLO_112 | DIM_9 | PHI_25.2 | EST_92
2025-10-04 22:52:35 | CICLO_113 | DIM_10 | PHI_25.2 | EST_90
2025-10-04 22:53:09 | CICLO_114 | DIM_9 | PHI_25.2 | EST_96
2025-10-04 22:53:43 | CICLO_115 | DIM_10 | PHI_25.2 | EST_93
2025-10-04 22:54:17 | CICLO_116 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 22:54:51 | CICLO_117 | DIM_8 | PHI_25.2 | EST_99
2025-10-04 22:55:25 | CICLO_118 | DIM_10 | PHI_25.2 | EST_92
2025-10-04 22:55:59 | CICLO_119 | DIM_8 | PHI_25.2 | EST_96
2025-10-04 22:56:33 | CICLO_120 | DIM_8 | PHI_25.2 | EST_94
2025-10-04 22:57:10 | CICLO_121 | DIM_8 | PHI_25.2 | EST_95
2025-10-04 22:57:44 | CICLO_122 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 22:58:18 | CICLO_123 | DIM_10 | PHI_25.2 | EST_91
2025-10-04 22:58:52 | CICLO_124 | DIM_9 | PHI_25.2 | EST_96
2025-10-04 22:59:26 | CICLO_125 | DIM_10 | PHI_25.2 | EST_90
2025-10-04 23:00:00 | CICLO_126 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 23:00:34 | CICLO_127 | DIM_10 | PHI_25.2 | EST_94
2025-10-04 23:01:08 | CICLO_128 | DIM_10 | PHI_25.2 | EST_95
2025-10-04 23:01:42 | CICLO_129 | DIM_9 | PHI_25.2 | EST_97
2025-10-04 23:02:16 | CICLO_130 | DIM_9 | PHI_25.2 | EST_98
2025-10-04 23:02:52 | CICLO_131 | DIM_10 | PHI_25.2 | EST_96
2025-10-04 23:03:26 | CICLO_132 | DIM_9 | PHI_25.2 | EST_90
2025-10-04 23:04:00 | CICLO_133 | DIM_8 | PHI_25.2 | EST_92
2025-10-04 23:04:34 | CICLO_134 | DIM_8 | PHI_25.2 | EST_98
2025-10-04 23:05:08 | CICLO_135 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 23:05:42 | CICLO_136 | DIM_9 | PHI_25.2 | EST_95
2025-10-04 23:06:16 | CICLO_137 | DIM_8 | PHI_25.2 | EST_90
2025-10-04 23:06:51 | CICLO_138 | DIM_9 | PHI_25.2 | EST_94
2025-10-04 23:07:25 | CICLO_139 | DIM_8 | PHI_25.2 | EST_93
2025-10-04 23:07:59 | CICLO_140 | DIM_8 | PHI_25.2 | EST_95
2025-10-04 23:08:35 | CICLO_141 | DIM_9 | PHI_25.2 | EST_91
2025-10-04 23:09:09 | CICLO_142 | DIM_9 | PHI_25.2 | EST_98
2025-10-04 23:09:43 | CICLO_143 | DIM_9 | PHI_25.2 | EST_95
2025-10-04 23:10:17 | CICLO_144 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 23:10:51 | CICLO_145 | DIM_9 | PHI_25.2 | EST_92
2025-10-04 23:11:25 | CICLO_146 | DIM_8 | PHI_25.2 | EST_94
2025-10-04 23:12:00 | CICLO_147 | DIM_10 | PHI_25.2 | EST_94
2025-10-04 23:12:34 | CICLO_148 | DIM_8 | PHI_25.2 | EST_91
2025-10-04 23:13:08 | CICLO_149 | DIM_9 | PHI_25.2 | EST_97
2025-10-04 23:13:42 | CICLO_150 | DIM_8 | PHI_25.2 | EST_94
2025-10-04 23:14:18 | CICLO_151 | DIM_8 | PHI_25.2 | EST_94
2025-10-04 23:14:52 | CICLO_152 | DIM_10 | PHI_25.2 | EST_98
2025-10-04 23:15:26 | CICLO_153 | DIM_9 | PHI_25.2 | EST_98
2025-10-04 23:16:00 | CICLO_154 | DIM_8 | PHI_25.2 | EST_99
2025-10-04 23:16:34 | CICLO_155 | DIM_8 | PHI_25.2 | EST_92
2025-10-04 23:17:08 | CICLO_156 | DIM_8 | PHI_25.2 | EST_94
2025-10-04 23:17:42 | CICLO_157 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 23:18:16 | CICLO_158 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 23:18:50 | CICLO_159 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 23:19:24 | CICLO_160 | DIM_9 | PHI_25.2 | EST_90
2025-10-04 23:20:01 | CICLO_161 | DIM_9 | PHI_25.2 | EST_91
2025-10-04 23:20:35 | CICLO_162 | DIM_8 | PHI_25.2 | EST_91
2025-10-04 23:21:09 | CICLO_163 | DIM_9 | PHI_25.2 | EST_96
2025-10-04 23:21:43 | CICLO_164 | DIM_9 | PHI_25.2 | EST_95
2025-10-04 23:22:17 | CICLO_165 | DIM_9 | PHI_25.2 | EST_94
2025-10-04 23:22:51 | CICLO_166 | DIM_8 | PHI_25.2 | EST_98
