2025-10-05 02:53:48 | CICLO_535 | DIM_9 | PHI_25.2 | EST_96
2025-10-05 04:21:52 | CICLO_690 | DIM_10 | PHI_25.2 | EST_99
2025-10-05 04:22:26 | CICLO_691 | DIM_9 | PHI_25.2 | EST_92
2025-10-05 04:23:00 | CICLO_692 | DIM_9 | PHI_25.2 | EST_96
2025-10-05 04:23:34 | CICLO_693 | DIM_10 | PHI_25.2 | EST_93
2025-10-05 04:24:08 | CICLO_694 | DIM_9 | PHI_25.2 | EST_91
2025-10-05 04:24:42 | CICLO_695 | DIM_8 | PHI_25.2 | EST_91
2025-10-05 04:25:16 | CICLO_696 | DIM_10 | PHI_25.2 | EST_97
2025-10-05 04:25:50 | CICLO_697 | DIM_10 | PHI_25.2 | EST_93
2025-10-05 04:26:25 | CICLO_698 | DIM_10 | PHI_25.2 | EST_93
2025-10-05 04:26:59 | CICLO_699 | DIM_10 | PHI_25.2 | EST_90
2025-10-05 04:27:33 | CICLO_700 | DIM_8 | PHI_25.2 | EST_94
2025-10-05 04:28:07 | CICLO_701 | DIM_8 | PHI_25.2 | EST_94
2025-10-05 04:28:41 | CICLO_702 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 04:29:15 | CICLO_703 | DIM_8 | PHI_25.2 | EST_95
2025-10-05 04:29:49 | CICLO_704 | DIM_8 | PHI_25.2 | EST_91
2025-10-05 04:30:23 | CICLO_705 | DIM_10 | PHI_25.2 | EST_91
2025-10-05 04:30:57 | CICLO_706 | DIM_10 | PHI_25.2 | EST_94
2025-10-05 04:31:31 | CICLO_707 | DIM_10 | PHI_25.2 | EST_99
2025-10-05 04:32:05 | CICLO_708 | DIM_9 | PHI_25.2 | EST_99
2025-10-05 04:32:39 | CICLO_709 | DIM_10 | PHI_25.2 | EST_92
2025-10-05 04:33:14 | CICLO_710 | DIM_10 | PHI_25.2 | EST_93
2025-10-05 04:33:48 | CICLO_711 | DIM_8 | PHI_25.2 | EST_98
2025-10-05 04:34:22 | CICLO_712 | DIM_8 | PHI_25.2 | EST_92
2025-10-05 04:34:56 | CICLO_713 | DIM_10 | PHI_25.2 | EST_91
2025-10-05 04:35:30 | CICLO_714 | DIM_9 | PHI_25.2 | EST_97
2025-10-05 04:36:04 | CICLO_715 | DIM_8 | PHI_25.2 | EST_91
